place,canonical,n_colonies,n_mentions,first_year,last_year,global_role,has_geo_cue
united_kingdom,United Kingdom,124,4755,1867,1966,external_reference,True
england,England,123,4447,1867,1966,external_reference,True
singapore,Singapore,43,2958,1867,1966,external_reference,True
canada,Canada,75,2788,1867,1966,external_reference,True
great_britain,Great Britain,136,2734,1867,1966,external_reference,True
london,London,139,2478,1867,1966,external_reference,True
india,India,95,2439,1867,1966,external_reference,True
jamaica,Jamaica,39,2110,1867,1966,external_reference,True
mauritius,Mauritius,30,2075,1877,1966,external_reference,True
trinidad,Trinidad,46,2058,1867,1966,external_reference,True
australia,Australia,78,2031,1867,1966,external_reference,True
france,France,88,1982,1867,1966,external_reference,True
europe,Europe,102,1957,1867,1966,external_reference,True
lagos,Lagos,26,1862,1867,1961,external_reference,True
spain,Spain,41,1851,1867,1966,external_reference,True
hong_kong,Hong Kong,36,1748,1867,1966,external_reference,True
gold_coast,Gold Coast,24,1713,1867,1956,ambiguous,True
sierra_leone,Sierra Leone,27,1704,1867,1965,external_reference,True
barbados,Barbados,44,1678,1867,1966,external_reference,True
tobago,Tobago,36,1635,1867,1966,external_reference,True
zanzibar,Zanzibar,28,1616,1877,1964,external_reference,True
victoria,Victoria,53,1614,1867,1966,external_reference,True
new_zealand,New Zealand,55,1524,1867,1966,external_reference,True
accra,Accra,15,1487,1867,1963,ambiguous,True
commonwealth,Commonwealth,76,1478,1867,1966,external_reference,True
fiji,Fiji,26,1462,1877,1966,external_reference,True
penang,Penang,24,1428,1867,1963,ambiguous,True
bermuda,Bermuda,30,1421,1867,1966,external_reference,True
aden,Aden,30,1371,1880,1966,external_reference,True
south_africa,South Africa,67,1370,1867,1966,external_reference,True
colombo,Colombo,16,1369,1867,1953,ambiguous,True
cyprus,Cyprus,10,1275,1880,1961,ambiguous,True
china,China,44,1249,1867,1966,external_reference,True
ceylon,Ceylon,26,1240,1867,1961,external_reference,True
kenya,Kenya,23,1204,1905,1966,ambiguous,True
ashanti,Ashanti,10,1192,1877,1956,ambiguous,False
st_vincent,St. Vincent,44,1178,1867,1966,external_reference,True
port_louis,Port Louis,4,1155,1878,1966,local,True
malta,Malta,11,1145,1877,1965,ambiguous,True
nigeria,Nigeria,16,1111,1900,1963,ambiguous,True
bathurst,Bathurst,14,1106,1867,1965,ambiguous,True
west_indies,West Indies,60,1102,1867,1966,external_reference,False
america,America,82,1080,1867,1966,external_reference,True
africa,Africa,58,1059,1867,1966,external_reference,True
st_george,St. George,34,1054,1867,1966,external_reference,True
natal,Natal,29,1052,1877,1966,external_reference,True
uganda,Uganda,31,1038,1896,1963,external_reference,True
grenada,Grenada,40,1031,1867,1966,external_reference,True
malacca,Malacca,21,1021,1867,1963,ambiguous,True
new_york,New York,48,1016,1877,1966,external_reference,True
georgetown,Georgetown,21,1009,1867,1966,ambiguous,True
st_kitts,St. Kitts,20,972,1867,1966,ambiguous,True
port_of_spain,Port of Spain,13,969,1877,1961,ambiguous,True
st_john,St. John,38,965,1867,1966,external_reference,True
sarawak,Sarawak,26,942,1888,1964,external_reference,True
mombasa,Mombasa,19,935,1900,1966,ambiguous,True
brunei,Brunei,22,934,1877,1964,ambiguous,True
st_lucia,St. Lucia,33,929,1867,1966,external_reference,True
antigua,Antigua,33,928,1867,1966,external_reference,True
cape_town,Cape Town,37,927,1867,1966,external_reference,True
northern_rhodesia,Northern Rhodesia,20,849,1897,1964,ambiguous,True
sydney,Sydney,37,826,1867,1966,external_reference,True
dominica,Dominica,30,817,1867,1966,external_reference,False
straits_settlements,Straits Settlements,35,809,1867,1963,external_reference,False
egypt,Egypt,31,800,1883,1966,external_reference,True
nairobi,Nairobi,22,798,1906,1966,ambiguous,True
freetown,Freetown,11,779,1877,1963,ambiguous,True
italy,Italy,32,765,1867,1966,external_reference,True
liverpool,Liverpool,46,755,1877,1961,external_reference,True
new_south_wales,New South Wales,24,752,1867,1955,ambiguous,True
demerara,Demerara,16,751,1867,1966,ambiguous,True
labuan,Labuan,21,744,1867,1963,ambiguous,True
germany,Germany,57,736,1878,1966,external_reference,True
transvaal,Transvaal,19,723,1878,1966,ambiguous,False
southern_rhodesia,Southern Rhodesia,28,715,1898,1965,external_reference,True
basutoland,Basutoland,17,705,1877,1966,local,True
cape_colony,Cape Colony,29,689,1867,1966,external_reference,True
malaya,Malaya,23,683,1894,1964,ambiguous,False
seychelles,Seychelles,18,671,1878,1966,ambiguous,True
kingston,Kingston,17,662,1867,1966,ambiguous,True
cape_coast,Cape Coast,9,657,1877,1956,ambiguous,True
nassau,Nassau,11,647,1867,1966,ambiguous,True
nevis,Nevis,19,643,1867,1966,ambiguous,True
windward_islands,Windward Islands,40,631,1867,1966,external_reference,True
gambia,Gambia,20,625,1867,1965,ambiguous,False
paris,Paris,50,621,1867,1966,external_reference,True
san_fernando,San Fernando,6,610,1877,1957,local,True
palestine,Palestine,7,610,1921,1951,ambiguous,True
larnaca,Larnaca,2,603,1883,1959,local,True
southern_nigeria,Southern Nigeria,9,596,1900,1960,local,True
st_mary,St. Mary,17,583,1867,1965,ambiguous,True
montserrat,Montserrat,21,579,1867,1966,ambiguous,False
new_providence,New Providence,4,578,1867,1966,local,True
famagusta,Famagusta,1,578,1883,1959,local,True
lake_nyasa,Lake Nyasa,12,577,1896,1964,ambiguous,True
belize,Belize,6,576,1867,1962,local,True
nova_scotia,Nova Scotia,16,573,1867,1966,local,True
west_africa,West Africa,22,572,1877,1965,ambiguous,True
cameroons,Cameroons,12,572,1890,1962,ambiguous,False
stanley,Stanley,16,571,1877,1966,ambiguous,True
tonga,Tonga,17,569,1886,1966,ambiguous,True
queensland,Queensland,18,565,1867,1948,ambiguous,True
st_helena,St. Helena,16,564,1867,1966,ambiguous,True
halifax,Halifax,20,563,1867,1966,ambiguous,True
north_borneo,North Borneo,21,563,1888,1964,ambiguous,True
nyasaland,Nyasaland,31,561,1894,1965,external_reference,True
tanganyika,Tanganyika,21,555,1896,1964,ambiguous,True
kumasi,Kumasi,3,542,1894,1956,local,True
rhodesia,Rhodesia,29,542,1896,1966,external_reference,False
borneo,Borneo,23,533,1867,1963,ambiguous,True
virgin_islands,Virgin Islands,16,515,1877,1966,ambiguous,True
berbice,Berbice,3,510,1867,1966,local,True
east_africa,East Africa,36,495,1890,1966,external_reference,True
quebec,Quebec,14,475,1867,1939,ambiguous,True
japan,Japan,43,472,1877,1966,external_reference,True
durban,Durban,24,468,1877,1966,ambiguous,True
western_australia,Western Australia,13,458,1867,1927,local,True
limassol,Limassol,1,451,1883,1959,local,True
bahamas,Bahamas,14,444,1867,1966,ambiguous,False
gibraltar,Gibraltar,7,441,1877,1966,ambiguous,True
buganda,Buganda,3,438,1909,1962,local,True
australian,Australian,35,436,1867,1966,external_reference,True
perak,Perak,18,435,1877,1957,local,True
melbourne,Melbourne,19,428,1867,1966,ambiguous,True
jerusalem,Jerusalem,7,428,1883,1964,ambiguous,True
bulawayo,Bulawayo,10,419,1896,1964,ambiguous,True
kedah,Kedah,18,411,1867,1957,local,True
kowloon,Kowloon,1,411,1889,1966,local,True
madagascar,Madagascar,15,409,1877,1966,ambiguous,True
lake_victoria,Lake Victoria,13,403,1906,1963,ambiguous,True
newfoundland,Newfoundland,11,402,1867,1951,ambiguous,True
sandakan,Sandakan,7,402,1888,1963,local,False
leeward_islands,Leeward Islands,28,401,1867,1966,external_reference,True
south_australia,South Australia,14,398,1867,1927,local,True
tasmania,Tasmania,14,398,1867,1929,local,False
jesselton,Jesselton,8,397,1905,1964,ambiguous,False
auckland,Auckland,15,394,1867,1966,ambiguous,True
marseilles,Marseilles,27,391,1877,1966,external_reference,True
togoland,Togoland,6,390,1894,1956,local,True
st_thomas,St. Thomas,22,389,1867,1966,ambiguous,True
wales,Wales,40,388,1867,1961,external_reference,False
cape_of_good_hope,Cape of Good Hope,14,379,1867,1962,ambiguous,True
hamilton,Hamilton,14,376,1877,1966,ambiguous,True
bombay,Bombay,24,374,1867,1966,ambiguous,True
kimberley,Kimberley,16,373,1877,1961,ambiguous,True
syria,Syria,7,368,1883,1959,ambiguous,True
