col_name,col_year_min,col_year_max,col_year_count,colony_id,canonical_name,wikidata_id,year_start,year_end,confidence,has_temporal_split,note
Aden,1922,1962,20,aden_1839_1963,Aden Province,Q17509767,1922,1936,verified,True,Aden Province (pre-separation)
Aden,1922,1962,20,aden_colony_1937_1967,Aden Colony,Q49910,1937,1962,verified,True,Aden Colony (post-separation)
Antigua,1867,1966,12,antigua_colony_1632_1981,Antigua Colony,Q22007334,1867,1966,verified,False,
Ascension,1894,1894,1,ascension_island_1815_ongoing,Ascension Island,Q46197,1894,1894,verified,False,
Bahamas,1867,1966,51,bahamas_colony_1666_1973,Bahamas Colony,Q1060894,1867,1966,verified,False,
Barbados,1867,1966,43,barbados_colony_1627_1966,Barbados Colony,Q63973349,1867,1966,verified,False,
Basutoland,1888,1966,18,basutoland_1868_1966,Basutoland,Q2340665,1888,1966,verified,False,
Bechuanaland,1899,1966,9,bechuanaland_protectorate_1884_1966,Bechuanaland Protectorate,Q747314,1899,1966,verified,False,
Bermuda,1877,1966,50,bermuda_1609_ongoing,Bermuda,Q23635,1877,1966,verified,False,
British Antarctic Territory,1963,1966,3,,,,1963,1966,no_kg_node,False,Established 1962 from Falkland Islands Dependencies. Wikidata: Q2888913
British Bechuanaland,1889,1894,3,british_bechuanaland_1885_1895,British Bechuanaland,Q4530733,1889,1894,verified,False,
British Central Africa,1896,1896,1,british_central_africa_protectorate_1891_1907,British Central Africa Protectorate,Q2642989,1896,1896,verified,False,Direct KG match (Tier 2)
British Columbia,1867,1908,2,mainland_british_columbia_1858_1866,Colony of British Columbia (Mainland),Q2514958,1867,1908,verified,False,
British East Africa and Zanzibar,1896,1896,1,east_africa_protectorate_1895_1920,East Africa Protectorate,Q876185,1896,1896,verified,False,East Africa Protectorate — part of combined COL heading
British East Africa and Zanzibar,1896,1896,1,zanzibar_1890_1963,Zanzibar,Q3574782,1896,1896,verified,False,Zanzibar — part of combined COL heading
British Guiana,1867,1966,28,british_guiana_1831_1966,British Guiana,Q918126,1867,1966,verified,False,
British Honduras,1877,1966,49,british_honduras_1862_1981,British Honduras,Q1643555,1877,1966,verified,False,
British New Guinea,1889,1900,6,british_new_guinea_1884_1906,British New Guinea,Q2645837,1889,1900,verified,False,
British Somaliland,1908,1960,24,british_somaliland_1884_1960,British Somaliland,Q662653,1908,1960,verified,False,Alias: 'British Somaliland' → 'Somaliland'
Brunei,1923,1963,21,brunei_protectorate_1888_1984,Brunei Protectorate,Q921,1923,1963,verified,False,
Canada,1867,1899,13,canada_dominion_of_1867_ongoing,Dominion of Canada,Q16,1867,1899,verified,False,
Cape of Good Hope,1867,1899,12,cape_colony_british_1806_1910,Cape Colony (British),Q4806993,1867,1899,verified,False,
Cayman Islands,1927,1966,10,cayman_islands_1670_ongoing,Cayman Islands,Q5785,1927,1966,verified,False,
Ceylon,1867,1939,16,ceylon_1795_1948,Ceylon,Q918153,1867,1939,verified,False,
Cook Islands,1911,1911,1,cook_islands_1888_1901,Cook Islands,Q26988,1911,1911,verified,False,
Cyprus,1883,1959,25,cyprus_1878_1960,Cyprus,Q15240466,1883,1959,verified,False,
Dominica,1867,1966,13,dominica_colony_1763_1978,Dominica Colony,Q137394892,1867,1966,verified,False,
East Africa High Commission,1949,1949,1,,,,1949,1949,no_kg_node,False,"Inter-territorial body, no single KG node"
Falkland Islands,1867,1966,52,falkland_islands_1833_ongoing,Falkland Islands,Q9648,1867,1966,verified,False,
Federated Malay States,1908,1908,1,federated_malay_states_1895_1946,Federated Malay States,Q1400154,1908,1908,verified,False,
Federation of Malaya,1948,1956,5,federation_of_malaya_1948_1957,Federation of Malaya,Q1479726,1948,1956,verified,False,
Federation of Rhodesia and Nyasaland,1954,1955,2,federation_of_rhodesia_and_nyasaland_1953_1963,Federation of Rhodesia and Nyasaland,Q654342,1954,1955,verified,False,Alias: 'Federation of Rhodesia and Nyasaland' → 'Rhodesia and Nyasaland'
Fiji,1877,1966,46,fiji_1874_1970,Fiji,Q5148320,1877,1966,verified,False,
Gambia,1867,1965,48,gambia_colony_and_protectorate_1816_1965,Gambia Colony and Protectorate,Q3557236,1867,1965,verified,False,
Gibraltar,1886,1966,45,gibraltar_1704_ongoing,Gibraltar,Q1410,1886,1966,verified,False,
Gilbert and Ellice Islands,1925,1940,2,gilbert_and_ellice_islands_1916_1976,Gilbert and Ellice Islands,Q1050859,1925,1940,verified,False,
Gold Coast,1867,1956,18,british_gold_coast_1821_1874,British Gold Coast,Q503623,1867,1956,verified,False,
Grenada,1879,1966,17,grenada_colony_1763_1974,Grenada Colony,Q3116419,1879,1966,verified,False,
Griqualand West,1877,1880,3,griqualand_west_1871_1880,Griqualand West,Q2547918,1877,1880,verified,False,
Heligoland,1867,1890,5,,,,1867,1890,no_kg_node,False,Not in KG. Ceded to Germany 1890. Wikidata: Q3084
High Commission Territories,1959,1959,1,,,,1959,1959,no_kg_node,False,"Administrative grouping of Basutoland, Bechuanaland, Swaziland"
Hong Kong,1867,1966,49,hong_kong_1841_1997,Hong Kong,Q1054923,1867,1966,verified,False,
Iraq,1927,1932,6,mandatory_iraq_1920_1932,Mandatory Iraq,Q146720,1927,1932,verified,False,
Jamaica,1867,1961,21,jamaica_1655_1962,Jamaica,Q2526023,1867,1961,verified,False,
Johore,1934,1934,1,unfederated_malay_states_1909_1946,Unfederated Malay States,Q1973084,1934,1934,verified,False,
Kedah,1934,1934,1,unfederated_malay_states_1909_1946,Unfederated Malay States,Q1973084,1934,1934,verified,False,
Kelantan,1934,1934,1,unfederated_malay_states_1909_1946,Unfederated Malay States,Q1973084,1934,1934,verified,False,
Kenya,1908,1963,19,east_africa_protectorate_1895_1920,East Africa Protectorate,Q876185,1908,1912,verified,True,East Africa Protectorate (pre-1920)
Kenya,1908,1963,19,kenya_colony_and_protectorate_of_1920_1963,"Kenya, Colony & Protectorate of",Q2538511,1922,1963,verified,True,Kenya Colony and Protectorate
