Colony: Gambia
Year: 1937
Section: ### Imports
Type: statistics
---
### Imports

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|---------------|-----------|-------|
| 1926 | £288,800  | £103,010      | £264,497  | £656,307 |
| 1927 | 415,142   | 111,819       | 429,780   | 956,741 |
| 1928 | 563,969   | 128,163       | 543,641   | 1,235,763 |
| 1929 | 206,274   | 63,842        | 347,736   | 617,852 |
| 1930 | 182,262   | 63,277        | 897,221   | 542,760 |
| 1931 | 94,615    | 36,171        | 121,827   | 252,613 |
| 1932 | 149,949   | 44,111        | 103,781   | 297,841 |
| 1933 | 229,868   | 72,631        | 147,369   | 449,868 |
| 1934 | 140,007   | 72,796        | 118,708   | 331,511 |
| 1935 | 253,868   | 131,978       | 127,441   | 513,287 |

(Specie £30,000 included.)
