Colony: Gambia
Year: 1867
Section: Revenue and Expenditure
Type: statistics
---
### Revenue and Expenditure

| Year | Revenue | Expenditure |
|------|---------|-------------|
| 1856 | £17,375 | £14,097     |
| 1857 | £16,434 | £17,737     |
| 1858 | £15,920 | £15,547     |
| 1860 | £14,154 | £15,274     |
| 1861 | £16,162 | £16,492     |
| 1862 | £15,661 | £15,177     |
| 1863 | £17,263 | £19,325     |
| 1864 | £17,204 | £17,662     |
| 1865 | £14,758 |             |
