Colony: Gambia
Year: 1939
Section: IMPORTS.
Type: statistics
---
**IMPORTS.**

| Year | From U.K. | Colonies | Elsewhere | Total |
|------|-----------|----------|-----------|-------|
| 1928 | £383,969 | £103,353 | £523,364 | £1,010,686 |
| 1929 | 205,543 | 63,842 | 327,776 | 597,161 |
| 1930 | 182,282 | 58,877 | 288,846 | 529,995 |
| 1931 | 94,449 | 36,171 | 119,891 | 250,311 |
| 1932 | 149,323 | 44,111 | 99,266 | 292,700 |
| 1933 | 219,431 | 72,631 | 143,840 | 435,902 |
| 1934 | 139,403 | 72,706 | 114,986 | 327,185 |
| 1935 | 223,868 | 131,978 | 127,441 | 483,287 |
| 1936 | 312,128 | 134,777 | 135,362 | 582,267 |
| 1937 | 322,671 | 201,439 | 181,065 | 705,165 |

(Excluding specie.)

**EXPORTS.**
