Colony: Gambia
Year: 1928
Section: FINANCES.
Type: statistics
---
FINANCES.

| Year | Revenue | Expenditure |
|------|---------|-------------|
| 1917 | £117,977 | £94,519     |
| 1918 | 133,324  | 88,703      |
| 1919 | 180,685  | 143,451     |
| 1920 | 268,789  | 171,160     |
| 1921 | 183,201  | 225,461     |
| 1922 | 243,603  | 430,312     |
| 1923 | 229,688  | 211,316     |
| 1924 | 208,613  | 203,635     |
| 1925 | 189,066  | 271,836     |
| 1926 | 214,181  | 213,643     |
