Colony: Gambia
Year: 1899
Section: Finances.
Type: statistics
---
Finances.

| Year | Revenue | Expenditure | British Total | Tonnage |
|------|---------|-------------|---------------|---------|
|      | Pesetas | Pesetas     | Pesetas       | Tonnage |
| 1888 | 1,481,571 | 1,326,525 | 10,123,006 | 11,986,032 |
| 1889 | 1,591,853 | 1,439,872 | 10,358,182 | 12,515,850 |
| 1890 | 1,561,542 | 1,476,078 | 9,542,085 | 11,488,698 |
| 1891 | 1,528,417 | 1,572,128 | 8,606,413 | 10,665,744 |
| 1892 | 1,418,385 | 1,804,587 | 6,767,965 | 8,578,175 |
| 1893 | 1,522,980 | 1,460,148 | 7,089,467 | 9,248,019 |
| 1894 | 1,580,419 | 1,516,375 | 7,595,769 | 9,841,007 |
| 1895 | 1,548,201 | 1,385,275 | 7,322,549 | 9,078,256 |
| 1896 | 1,581,785 | 1,508,705 | 6,718,821 | 8,660,981 |
| 1897 | 1,652,781 | 1,531,784 | 6,654,993 | 8,720,169 |

The Customs revenue in 1897 was 316,656 pesetas.
