Colony: Gambia
Year: 1934
Section: IMPORTS.
Type: statistics
---
**IMPORTS.**

| Year | From U.K. | Elsewhere |
|------|-----------|-----------|
| 1923 | £444,329  | £269,778  |
| 1924 | 280,509   | 83,937    |
| 1925 | 256,773   | 78,556    |
| 1926 | 288,800   | 103,010   |
| 1927 | 415,142   | 111,819   |
| 1928 | 563,969   | 128,153   |
| 1929 | 206,274   | 63,842    |
| 1930 | 182,262   | 63,277    |
| 1931 | 94,615    | 36,171    |
| 1932 | 149,949   | 44,111    |
