Colony: Gambia
Year: 1939
Section: FINANCES.
Type: statistics
---
**FINANCES.**

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1928 | £225,385 | £250,596 | 828,926 | 1,292,387 |
| 1929 | 235,266 | 289,506 | 869,626 | 1,280,888 |
| 1930 | 216,739 | 253,228 | 768,394 | 1,239,151 |
| 1931 | 184,825 | 227,488 | 590,710 | 1,065,700 |
| 1932 | 206,133 | 196,015 | 629,320 | 926,023 |
| 1933 | 231,787 | 180,161 | 576,148 | 1,016,384 |
| 1934 | 221,664 | 174,663 | 661,377 | 1,240,730 |
| 1935 | 245,485 | 194,689 | 760,766 | 1,364,921 |
| 1936 | 257,180 | 209,000 | 893,716 | 1,240,456 |
| 1937 | 285,204 | 243,323 | 579,314 | 1,306,884 |

**IMPORTS.**
