Colony: Gambia
Year: 1914
Section: Consuls.
Type: narrative
---
Consuls.

Argentina Republic, C. Rugeroni (Vice-Consul).
Austria-Hungary, M. Y. Bergel.
Bolivia, J. Garese.
Brazil, A. Onetti (Consul); J. Onetti (Vice-Consul).
Chili, J. L. Abrines.
Costa Rica, F. J. Piccone.
Cuba, A. Onetti.
Denmark, J. Mackintosh.
France, C. Hardouin.
Germany, F. Schott.
Greece, J. L. Imossi.
Guatemala, H. Cavanna.
Holland, J. A. Patron, C.M. G. (Consul); W. J. J. Thomson (Vice-Consul).
Honduras, A. Bosano.
Italy, S. L. Rocca.
Liberia, W. U. Thornton.
Mexico, A. M. Rugeroni.
Morocco, Sid Mohammed Ben Mohammed Martil.
Nicaragua, A. Bosano.
Norway, J. Mackintosh.
Panama, H. A. Imossi.
Paraguay, J. Garese.
Peru, Dr. H. A. Imossi.
Portugal, V. Nunes Tavares (Consul); J. F. dos Santos (Vice-Consul).
Russia, A. Porral, C.M.G., I.S.O.
Siam,
Spain, F. Marti y Diaz de Jáuregui (Consul-General); I. Fernandez Gambos (Vice-Consul).
Sweden, G. Prescott.
Turkey, C. T. Hutcheson.
U.S. of America, R. L. Sprague (Consul); A. D. Hayden (Vice and Deputy Consul).
Uruguay, A. Corsi (Consul); M. Corsi (Vice-Consul).
Venezuela, A. Bosano (Consul); F. Vasquez (Vice-Consul).
