Colony: Gambia
Year: 1899
Section: Exports.
Type: statistics
---
Exports.

| Year | To U.K. | To Colonies | Elsewhere | Total |
|------|---------|-------------|-----------|-------|
|      | £       | £           | £         | £     |
| 1888 | 27,514  | 7,522       | 83,152    | 118,188|
| 1889 | 16,522  | 857         | 183,985   | 207,364|
| 1890 | 26,196  | 8,465       | 129,712   | 164,373|
| 1891 | 37,522  | 6,558       | 132,977   | 180,052|
| 1892 | 34,130  | 1,631       | 136,436   | 172,197|
| 1893 | 21,427  | 2,852       | 180,442   | 204,721|
| 1894 | 24,630  | 3,619       | 120,894   | 149,143|
| 1895 | 33,999  | 994         | 58,544    | 93,537 |
| 1896 | 41,022  | 1,757       | 74,202    | 116,981|
| 1897 | 35,235  | 1,409       | 129,189   | 165,894|

Customs revenue in 1893—26,946l.; 1894—19,370l.; 1895—14,357l.; 1896—18,625l.; 1897—29,786l.
