Colony: Gambia
Year: 1909
Section: | Year | From U.K. | From Colonies | Elsewhere | Total |
Type: statistics
---
| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|---------------|-----------|-------|
| 1898 | £127,465  | £24,107       | £94,459   | £240,091 |
| 1899 | 115,306   | 36,310        | 89,291    | 240,907 |
| 1900 | 124,126   | 44,068        | 109,464   | 277,659 |
| 1901 | 116,920   | 25,533        | 110,194   | 252,647 |
| 1902 | 136,326   | 40,386        | 126,903   | 303,615 |
| 1903 | 142,560   | 48,007        | 150,495   | 341,063 |
| 1904 | 109,888   | 71,865        | 124,397   | 306,149 |
| 1905 | 113,398   | 40,764        | 151,019   | 315,181 |
| 1906 | 197,421   | 43,442        | 206,794   | 447,657 |
| 1907 | 186,356   | 63,536        | 195,467   | 445,359 |
