Colony: Gambia
Year: 1925
Section: Imports
Type: statistics
---
### Imports

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1914 | £254,358  | £78,889       | £355,260       | £688,007 |
| 1915 | 198,328   | 64,316        | 258,507        | 521,151 |
| 1916 | 435,751   | 95,788        | 353,015        | 884,554 |
| 1917 | 529,342   | 234,421       | 227,863        | 991,626 |
| 1918 | 920,320   | 285,771       | 251,923        | 1,458,014 |
| 1919 | 725,508   | 175,638       | 349,175        | 1,250,321 |
| 1920 | 1,759,946 | 301,622       | 650,312        | 2,711,880 |
| 1921 | 680,237   | 146,521       | 197,690        | 924,448 |
| 1922 | 549,463   | 126,301       | 186,361        | 862,115 |
| 1923 | 444,329   | 109,791       | 259,778        | 813,898 |
