Colony: Gambia
Year: 1932
Section: Finances
Type: statistics
---
### Finances

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1921 | £183,201 | £225,461    | £440,522        | £688,740      |
| 1922 | 243,603  | 430,312     | 556,283         | 836,663       |
| 1923 | 229,688  | 211,365     | 593,772         | 1,105,982     |
| 1924 | 208,613  | 203,635     | 643,796         | 1,100,729     |
| 1925 | 189,086  | 271,836     | 712,052         | 1,097,642     |
| 1926 | 214,181  | 213,643     | 771,971         | 1,255,241     |
| 1927 | 252,419  | 277,625     | 821,957         | 1,287,018     |
| 1928 | 225,385  | 250,596     | 828,926         | 1,292,397     |
| 1929 | 235,266  | 289,506     | 869,626         | 1,280,888     |
| 1930 | 216,739  | 253,228     | 763,394         | 1,239,151     |
