Colony: Gambia
Year: 1930
Section: Finances.
Type: statistics
---
**Finances.**

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1919 | £180,585 | £143,451    | £354,837        | £441,860      |
| 1920 | 268,789  | 171,160     | 592,969         | 802,028       |
| 1921 | 183,201  | 225,461     | 440,522         | 688,740       |
| 1922 | 243,603  | 430,312     | 558,283         | 836,663       |
| 1923 | 229,688  | 211,316     | 593,772         | 1,082,982     |
| 1924 | 208,613  | 203,635     | 643,796         | 1,100,729     |
| 1925 | 189,086  | 271,836     | 712,052         | 1,097,642     |
| 1926 | 214,181  | 213,643     | 771,971         | 1,256,241     |
| 1927 | 262,419  | 277,625     | 821,957         | 1,287,018     |
| 1928 | 226,385  | 250,596     | 828,926         | 1,292,397     |
