Colony: Gambia
Year: 1928
Section: SHIPPING ENTERED AND CLEARED.
Type: statistics
---
SHIPPING ENTERED AND CLEARED.

| Year | British Tonnage | Total Tonnage |
|------|-----------------|---------------|
| 1917 | 290,288         | 398,524       |
| 1918 | 262,274         | 282,066       |
| 1919 | 354,837         | 441,860       |
| 1920 | 592,969         | 802,028       |
| 1921 | 440,522         | 688,740       |
| 1922 | 666,283         | 835,663       |
| 1923 | 593,772         | 1,052,982     |
| 1924 | 643,796         | 1,100,729     |
| 1925 | 712,052         | 1,097,642     |
| 1926 | 771,971         | 1,255,241     |
