Colony: Gambia
Year: 1890
Section: EXPORTS.
Type: statistics
---
EXPORTS.

| Year | To U.K. | To Colonies | Elsewhere | Total |
|------|---------|------------|-----------|-------|
| 1879 | 16,522  | 857        | 189,985   | 207,864|
| 1880 | 7,565   | 84         | 131,384   | 139,888|
| 1881 | 12,425  | 1,770      | 126,228   | 140,423|
| 1882 | 35,522  | —          | 219,189   | 254,711|
| 1883 | 46,233  | 1,399      | 160,488   | 208,120|
| 1884 | 18,758  | 3,195      | 177,534   | 199,482|
| 1885 | 9,556   | 4,663      | 105,166   | 119,385|
| 1886 | 18,673  | 8,401      | 57,442    | 79,516 |
| 1887 | 27,730  | 8,706      | 55,497    | 86,933 |
| 1888 | 27,514  | 7,522      | 83,152    | 118,188|
