Colony: Gambia
Year: 1908
Section: | Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
Type: statistics
---
| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|--------------|
| 1897 | £39,415 | £27,059     | 164,940         | 258,388      |
| 1898 | 46,718  | 29,035      | 225,385         | 328,145      |
| 1899 | 46,840  | 30,405      | 201,690         | 284,635      |
| 1900 | 49,161  | 29,818      | 198,099         | 261,269      |
| 1901 | 43,726  | 48,518      | 220,098         | 285,071      |
| 1902 | 51,016  | 51,536      | 188,546         | 286,878      |
| 1903 | 55,564  | 67,504      | 249,376         | 387,717      |
| 1904 | 54,180  | 52,301      | 232,001         | 367,560      |
| 1905 | 51,808  | 72,297      | 204,969         | 325,236      |
| 1906 | 65,430  | 56,900      | 255,165         | 404,515      |
