Colony: Gambia
Year: 1899
Section: Imports.
Type: statistics
---
Imports.

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|---------------|-----------|-------|
|      | £         | £             | £         | £     |
| 1888 | 58,219    | 17,225        | 82,623    | 103,067|
| 1889 | 91,611    | 27,199        | 71,357    | 190,167|
| 1890 | 75,444    | 22,684        | 45,391    | 143,469|
| 1891 | 84,798    | 30,377        | 45,954    | 161,129|
| 1892 | 83,521    | 31,476        | 54,376    | 169,373|
| 1893 | 82,967    | 27,250        | 56,293    | 166,610|
| 1894 | 72,893    | 20,304        | 37,152    | 130,349|
| 1895 | 51,068    | 17,399        | 28,982    | 97,449 |
| 1896 | 57,568    | 19,987        | 32,769    | 110,324|
| 1897 | 97,181    | 25,147        | 53,999    | 176,327|
