Colony: Gambia
Year: 1890
Section: IMPORTS.
Type: statistics
---
IMPORTS.

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|--------------|-----------|-------|
| 1879 | 91,611    | 27,199       | 71,357    | 190,167|
| 1880 | 102,955   | 28,455       | 60,170    | 191,580|
| 1881 | 57,383    | 30,589       | 64,717    | 142,589|
| 1882 | 97,786    | 20,650       | 55,454    | 173,890|
| 1883 | 93,997    | 37,841       | 86,100    | 217,938|
| 1884 | 89,172    | 47,085       | 75,865    | 212,122|
| 1885 | 35,490    | 26,758       | 35,437    | 97,685 |
| 1886 | 30,272    | 15,614       | 23,357    | 69,243 |
| 1887 | 31,284    | 14,208       | 35,358    | 80,800 |
| 1888 | 53,219    | 17,225       | 32,623    | 103,067|
