Colony: Sierra Leone
Year: 1937
Section: **EXPORTS.**
Type: statistics
---
**EXPORTS.**

| Year | To U.K. | To other H.W.A. Colonies | To Elsewhere | Total |
|------|---------|--------------------------|--------------|-------|
| 1926 | 773,299 | 297,671                  | 800,476      | 1,871,446 |
| 1927 | 603,748 | 228,912                  | 934,599      | 1,767,259 |
| 1928 | 539,488 | 271,919                  | 1,017,686    | 1,829,093 |
| 1929 | 531,017 | 224,319                  | 776,901      | 1,532,237 |
| 1930 | 337,376 | 192,233                  | 686,437      | 1,216,046 |
| 1931 | 450,423 | 60,626                   | 412,564      | 923,613 |
| 1932 | 370,356 | 55,150                   | 507,267      | 932,773 |
| 1933 | 434,700 | 52,515                   | 296,578      | 783,943 |
| 1934 | 679,163 | 31,490                   | 301,222      | 1,011,875 |
| 1935 | 1,078,923| 48,822                  | 456,089      | 1,583,834 |

Customs Revenue, 1933, 371,686l.; 1934, 313,528l.; 1935, 441,906l.
