Colony: Sierra Leone
Year: 1906
Section: ### Exports
Type: statistics
---
### Exports

| Year | To U.K. | Colonies | Elsewhere | Total |
|------|---------|----------|-----------|-------|
|      | £       | £        | £         | £     |
| 1895 | 206,873 | 21,792   | 223,939   | 452,604|
| 1896 | 203,495 | 21,895   | 223,643   | 449,033|
| 1897 | 188,945 | 29,234   | 182,569   | 400,748|
| 1898 | 117,726 | 30,947   | 142,316   | 290,991|
| 1899 | 135,636 | 42,412   | 157,964   | 336,011|
| 1900 | 125,569 | 59,275   | 117,637   | 362,471|
| 1901 | 87,588  | 46,228   | 170,194   | 304,010|
| 1902 | 123,272 | 73,661   | 206,685   | 403,618|
| 1903 | 127,882 | 58,170   | 232,679   | 418,631|
| 1904 | 182,956 | 71,586   | 230,328   | 484,870|

Customs Revenue, 1894—£79,804.; 1895—£82,579.; 1897—£82,875.; 1898—£84,592.; 1899—£122,758.; 1900—£102,968.; 1901—£104,930.; 1902—£121,919.; 1903—£126,811.
