Colony: Sierra Leone
Year: 1898
Section: EXPORTS.
Type: statistics
---
EXPORTS.

| Year | To U.K. | To Colonies | To Elsewhere | Total |
|------|---------|-------------|--------------|-------|
| 1887 | 120,188 | 15,695      | 197,634      | 333,517 |
| 1888 | 166,569 | 17,651      | 154,823      | 339,047 |
| 1890 | 131,077 | 23,992      | 164,450      | 319,719 |
| 1891 | 147,436 | 21,043      | 180,840      | 349,313 |
| 1892 | 218,294 | 32,177      | 227,185      | 477,659 |
| 1893 | 195,298 | 35,245      | 183,908      | 420,451 |
| 1894 | 166,055 | 30,480      | 202,129      | 398,664 |
| 1895 | 196,171 | 24,873      | 203,435      | 424,499 |
| 1896 | 206,873 | 21,792      | 223,939      | 452,604 |

Customs Revenue, 1894—79,804l.; 1895—82,579l.
