Colony: Sierra Leone
Year: 1889
Section: Exports.
Type: statistics
---
Exports.

| Year | To U.K. | To Colonies | To Elsewhere | Total |
|------|---------|-------------|--------------|-------|
| 1878 | 128,934 | 25,784      | 236,928      | 391,646 |
| 1879 | 65,215  | 25,672      | 300,194      | 391,081 |
| 1880 | 103,644 | 28,429      | 243,918      | 375,991 |
| 1881 | 125,321 | 30,496      | 210,045      | 365,862 |
| 1882 | 189,121 | 30,519      | 200,877      | 420,517 |
| 1883 | 168,666 | 33,298      | 240,409      | 442,373 |
| 1884 | 156,730 | 35,210      | 183,115      | 377,065 |
| 1885 | 122,088 | 21,297      | 183,846      | 327,231 |
| 1886 | 111,335 | 17,302      | 196,715      | 325,352 |
| 1887 | 120,188 | 15,695      | 197,684      | 333,577 |
