Colony: Sierra Leone
Year: 1883
Section: Value of Imports and Exports.
Type: statistics
---
Value of Imports and Exports.

| Year | Imports | Exports |
|------|---------|---------|
| 1872 | £411,935 | £358,636 |
| 1873 | 490,998   | 465,113 |
| 1874 | 418,009   | 481,894 |
| 1875 | 326,011   | 350,202 |
| 1876 | 272,606   | 297,036 |
| 1877 | 368,442   | 388,580 |
| 1878 | 524,418   | 391,646 |
| 1879 | 409,643   | 391,080 |
| 1880 | 445,358   | 375,985 |
| 1881 | 374,375   | 365,862 |
