Colony: Sierra Leone
Year: 1939
Section: The agricultural exports for 1937 were as follows:
Type: statistics
---
The agricultural exports for 1937 were as follows:

| Quantity | Value |
|----------|-------|
| Tons     | £     |
| Palm kernels .. 76,776 | 884,812 |
| Kola .. 2,248 | 60,504 |
| Palm oil .. 2,325 | 42,238 |
| Piasava .. 3,392 | 43,609 |
| Ginger .. 2,384 | 97,622 |
| Rice .. 8 | 104 |
| Peppers .. 20 | 1,093 |
| Cocoa .. 265 | 8,830 |
| Benniseed .. 104 | 1,662 |
