Colony: Sierra Leone
Year: 1883
Section: Revenue and Expenditure.
Type: statistics
---
Revenue and Expenditure.

| Year | Revenue | Expenditure |
|------|---------|-------------|
| 1873 | £53,244 | £60,617     |
| 1874 | 56,733   | 63,659      |
| 1875 | 58,876   | 67,111      |
| 1876 | 56,889   | 64,706      |
| 1877 | 56,320   | 59,248      |
| 1878 | 63,125   | 53,256      |
| 1879 | 71,877   | 57,802      |
| 1880 | 72,558   | 68,128      |
| 1881 | 65,415   | 66,859      |
