Colony: Sierra Leone
Year: 1960
Section: Trade
Type: statistics
---
| Trade | Re-exports | Domestic Exports |
|-------|------------|------------------|
| Imports | £          | £                |
| 1938   | 1,367,038  | 21,704           |
| 1954   | 12,876,250 | 397,429          |
| 1955   | 17,114,967 | 292,443          |
| 1956   | 23,093,100 | 1,052,462        |
| 1957   | 28,249,521 | 3,338,182        |
| 1958   | 23,903,129 | 3,071,913        |
