Colony: Sierra Leone
Year: 1889
Section: Finances.
Type: statistics
---
Finances.

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|--------|-------------|-----------------|--------------|
| 1878 | 63,125 | 53,256      | 268,311         | 330,055      |
| 1879 | 71,877 | 57,802      | 331,593         | 380,773      |
| 1880 | 72,558 | 68,128      | 341,189         | 401,283      |
| 1881 | 66,415 | 66,859      | 278,154         | 325,800      |
| 1882 | 62,485 | 59,737      | 419,241         | 502,420      |
| 1883 | 62,413 | 73,216      | 380,006         | 387,292      |
| 1884 | 73,096 | 82,259      | 387,517         | 382,325      |
| 1885 | 64,751 | 67,917      | 379,465         | 484,163      |
| 1886 | 58,407 | 58,982      | 389,258         | 436,070      |
| 1887 | 60,637 | 58,834      | 327,084         | 360,637      |
