Colony: Sierra Leone
Year: 1928
Section: FINANCES.
Type: statistics
---
FINANCES.

| Year | Revenue | Expenditure | Total |
|------|---------|-------------|-------|
| 1917 | 548,449 | 512,843     | 1,061,292 |
| 1918 | 583,159 | 544,011     | 1,127,170 |
| 1919 | 748,779 | 740,383     | 1,489,162 |
| 1920 | 999,381 | 843,403     | 1,842,784 |
| 1921 | 638,315 | 982,032     | 1,620,347 |
| 1922 | 786,540 | 816,977     | 1,603,517 |
| 1923 | 845,319 | 727,661     | 1,572,980 |
| 1924 | 868,319 | 777,790     | 1,646,109 |
| 1925 | 945,581 | 843,321     | 1,788,902 |
| 1926 | 855,440 | 957,155     | 1,812,595 |
