Colony: Sierra Leone
Year: 1905
Section: ### Finances
Type: statistics
---
### Finances

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|--------------|
| 1894 | 98,838  | 93,100      | 828,718         | 962,046      |
| 1895 | 97,852  | 100,248     | 780,697         | 1,021,870    |
| 1896 | —       | —           | 805,684         | 1,076,260    |
| 1897 | 106,009 | 111,678     | 835,538         | 1,084,745    |
| 1898 | 117,681 | 121,112     | 863,327         | 1,110,228    |
| 1899 | 168,382 | 145,088     | 918,256         | 1,181,748    |
| 1900 | 168,668 | 156,421     | 994,328         | 1,290,938    |
| 1901 | 192,138 | 173,457     | 1,023,941       | 1,249,808    |
| 1902 | 206,765 | 184,940     | 1,153,867       | 1,467,388    |
| 1903 | 237,730 | 206,464     | 1,354,590       | 1,688,357    |
