Colony: Sierra Leone
Year: 1923
Section: **Exports.**
Type: statistics
---
**Exports.**

| Year | To U.K. | To other B.W.A. Colonies | To Elsewhere | Total |
|------|---------|--------------------------|--------------|-------|
| 1912 | 272,735 | 219,734                  | 1,048,285    | 1,540,754 |
| 1913 | 280,091 | 251,882                  | 1,246,979    | 1,750,952 |
| 1914 | 367,961 | 253,370                  | 629,147      | 1,250,478 |
| 1915 | 657,297 | 292,472                  | 949,769      | 1,254,621 |
| 1916 | 718,656 | 182,815                  | 392,073      | 1,223,544 |
| 1917 | 919,102 | 166,359                  | 418,534      | 1,487,995 |
| 1918 | 704,459 | 62,680                   | 221,768      | 978,807  |
| 1919 | 787,022 | 169,443                  | 560,406      | 1,516,871 |
| 1920 | 1,374,510 | 288,608              | 438,451      | 2,101,569 |
| 1921 | 1,569,300 | 503,653             | 876,427      | 2,949,380 |

Customs Revenue, 1920, 638,052l.; 1921, 334,962l.
